"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11"
"79",79,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",3,2017-12-15,2018-03-15,"17/18",2.5,5,6,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,2.5,3.5,5,5,5,NA,NA,NA
"80",80,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",3,2017-12-15,2018-03-15,"17/18",0.8,2.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",3,2017-12-15,2018-03-15,"17/18",0.1,0.8,1.5,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,5.5,5.5,5.5,NA,NA,NA
"82",82,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",3,2017-12-15,2018-03-15,"17/18",1.5,3.5,5,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,6,6,6,NA,NA,NA
"83",83,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",3,2017-12-15,2018-03-15,"17/18",4,8,8.5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.5,0.8,0.8,7,7.5,7.5,NA,NA,NA
"84",84,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",4,2017-12-15,2018-03-15,"17/18",0.1,1,2,NA,NA,NA,NA,NA,NA,0.2,0.8,2,2,2,NA,NA,NA,NA,NA,NA
"85",85,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",4,2017-12-15,2018-03-15,"17/18",0.5,2,3.5,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,4.5,6,6,6,NA,NA,NA
"86",86,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",4,2017-12-15,2018-03-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,1,1,1,NA,NA,NA,NA,NA
"87",87,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Mil<ea>nio","chc",4,2017-12-15,2018-03-15,"17/18",0.1,0.8,0.8,0.8,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.8,1.5,1.5,NA,NA,NA,NA
"88",88,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",4,2017-12-15,2018-03-15,"17/18",0.8,2,3.5,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
